Destino Inicial,Destino Final,Data,Preço
par,mad,11,251
par,mad,12,285
par,mad,13,271
par,mad,14,271
par,mad,15,271
par,mad,16,308
par,mad,17,271
par,mad,18,380
par,mad,19,419
par,mad,20,207
par,mad,21,234
par,mad,22,233
par,mad,23,271
par,mad,24,308
par,mad,25,271
par,mad,26,285
par,mad,27,251
par,mad,28,233
par,mad,29,308
par,mad,30,251
par,mad,31,285
par,rom,1,470
par,rom,2,222
par,rom,3,370
par,rom,4,349
par,rom,5,375
par,rom,6,296
par,rom,7,365
par,rom,8,648
par,rom,9,375
par,rom,10,206
par,rom,11,223
par,rom,12,251
par,rom,13,222
par,rom,14,233
par,rom,15,179
par,rom,16,248
par,rom,17,352
par,rom,18,267
par,rom,19,251
par,rom,20,180
par,rom,21,179
par,rom,22,244
par,rom,23,244
par,rom,24,239
par,rom,25,285
par,rom,26,179
par,rom,27,179
par,rom,28,186
par,rom,29,222
par,rom,30,169
par,rom,31,276
rom,ams,1,543
rom,ams,2,419
rom,ams,3,559
rom,ams,4,710
rom,ams,5,580
rom,ams,6,459
rom,ams,7,479
rom,ams,8,471
rom,ams,9,441
rom,ams,10,520
rom,ams,11,644
rom,ams,12,538
rom,ams,13,459
rom,ams,14,358
rom,ams,15,405
rom,ams,16,432
rom,ams,17,459
rom,ams,18,447
rom,ams,19,459
rom,ams,20,459
rom,ams,21,556
rom,ams,22,459
rom,ams,23,441
rom,ams,24,459
rom,ams,25,495
rom,ams,26,459
rom,ams,27,415
rom,ams,28,470
rom,ams,29,459
rom,ams,30,358
rom,ams,31,419
rom,bhz,21,2.909
rom,bhz,22,2.894
rom,bhz,23,2.894
rom,bhz,24,2.894
rom,bhz,25,2.619
rom,bhz,26,3.163
rom,bhz,27,3.021
rom,bhz,28,2.909
rom,bhz,29,2.619
rom,bhz,30,3.419
rom,bhz,31,2.919
rom,lon,1,148
rom,lon,2,137
rom,lon,3,137
rom,lon,4,137
rom,lon,5,203
rom,lon,6,311
rom,lon,7,142
rom,lon,8,152
rom,lon,9,152
rom,lon,10,232
rom,lon,11,337
rom,lon,12,184
rom,lon,13,273
rom,lon,14,142
rom,lon,15,121
rom,lon,16,142
rom,lon,17,152
rom,lon,18,258
rom,lon,19,184
rom,lon,20,232
rom,lon,21,205
rom,lon,22,142
rom,lon,23,121
rom,lon,24,179
rom,lon,25,284
rom,lon,26,311
rom,lon,27,364
rom,lon,28,337
rom,lon,29,337
rom,lon,30,456
rom,lon,31,475
rom,mad,1,203
rom,mad,2,203
rom,mad,3,361
rom,mad,4,311
rom,mad,5,504
rom,mad,6,364
rom,mad,7,284
rom,mad,8,284
rom,mad,9,284
rom,mad,10,284
rom,mad,11,284
rom,mad,12,284
rom,mad,13,284
rom,mad,14,284
rom,mad,15,284
rom,mad,16,284
rom,mad,17,284
rom,mad,18,311
rom,mad,19,337
rom,mad,20,284
rom,mad,21,284
rom,mad,22,284
rom,mad,23,284
rom,mad,24,284
rom,mad,25,284
rom,mad,26,390
rom,mad,27,284
rom,mad,28,284
rom,mad,29,284
rom,mad,30,284
rom,mad,31,284
rom,par,1,348
rom,par,2,271
rom,par,3,250
rom,par,4,231
rom,par,5,239
rom,par,6,238
rom,par,7,179
rom,par,8,165
rom,par,9,269
rom,par,10,311
rom,par,11,485
rom,par,12,796
rom,par,13,395
rom,par,14,179
rom,par,15,137
rom,par,16,163
rom,par,17,250
rom,par,18,250
rom,par,19,179
rom,par,20,340
rom,par,21,308
rom,par,22,231
rom,par,23,202
rom,par,24,308
rom,par,25,231
rom,par,26,200
rom,par,27,186
rom,par,28,242
rom,par,29,179
rom,par,30,163
rom,par,31,205
